COUNTRY_NAME,STATE_NAME,LATITUDE,LONGITUDE,TRANS_RATE,DAY1,DAY2,DAY3,DAY4,DAY5,DAY6,DAY7
United States of America,West Virginia,43.78444000000000,-88.78786800000000,4,2257,2663,3280,4216,5636,7787,11043
United States of America,Wisconsin,38.59762600000000,-80.45490300000000,0.5,18542,18863,19193,19534,19885,20246,20619
United States of America,Wisconsin,38.59762600000000,-80.45490300000000,1,18871,19568,20327,21154,22054,23034,24101
United States of America,Wisconsin,38.59762600000000,-80.45490300000000,2,19585,21233,23236,25670,28630,32226,36594
United States of America,Wisconsin,38.59762600000000,-80.45490300000000,3,20382,23303,27268,32646,39938,49817,63184
United States of America,Wisconsin,38.59762600000000,-80.45490300000000,4,21270,25878,32856,43414,59361,83392,119471
United States of America,Wyoming,43.07596800000000,-107.29028400000000,0.5,905,913,921,929,937,946,955
United States of America,Wyoming,43.07596800000000,-107.29028400000000,1,913,930,948,968,989,1013,1038
United States of America,Wyoming,43.07596800000000,-107.29028400000000,2,930,970,1018,1076,1147,1233,1337
United States of America,Wyoming,43.07596800000000,-107.29028400000000,3,949,1019,1114,1243,1418,1655,1978
United States of America,Wyoming,43.07596800000000,-107.29028400000000,4,971,1081,1248,1501,1886,2468,3350
